Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
Bombastic2_3.param,0.032827,1,-O2,conflict
Bombastic3_5.param,0.00089,0,-O2,conflict
Bombastic3_6.param,0.036073,19,-O2,conflict
Bombastic4_7.param,0.001076,0,-O2,conflict
Bombastic4_8.param,0.033289,1,-O2,conflict
Bombastic5_09.param,0.010509,339,-O2,conflict
Bombastic5_10.param,0.04474,325,-O2,conflict
Bombastic6_11.param,0.106798,5573,-O2,conflict
Bombastic6_12.param,0.196469,8744,-O2,conflict
Bombastic7_14.param,0.002689,0,-O2,conflict
Bombastic7_15.param,0.031643,1,-O2,conflict
Bombastic8_15.param,0.247976,11779,-O2,conflict
Bombastic8_16.param,0.854731,33234,-O2,conflict
Bombastic9_16.param,0.473983,23385,-O2,conflict
Bombastic9_17.param,1.21587,48609,-O2,conflict
Bombastic1_1.param,0.031868,1,-O3,conflict
Bombastic2_2.param,0.000466,0,-O3,conflict
Bombastic2_3.param,0.033502,1,-O3,conflict
Bombastic3_5.param,0.000655,0,-O3,conflict
Bombastic3_6.param,0.037392,19,-O3,conflict
Bombastic4_7.param,0.000336,0,-O3,conflict
Bombastic4_8.param,0.0338,1,-O3,conflict
Bombastic5_09.param,0.015279,339,-O3,conflict
Bombastic5_10.param,0.04933,325,-O3,conflict
Bombastic6_11.param,0.104036,5573,-O3,conflict
Bombastic6_12.param,0.19953,8744,-O3,conflict
Bombastic7_14.param,0.00322,0,-O3,conflict
Bombastic7_15.param,0.033852,1,-O3,conflict
Bombastic8_15.param,0.248472,11779,-O3,conflict
Bombastic8_16.param,0.867145,33234,-O3,conflict
Bombastic9_16.param,0.470266,23385,-O3,conflict
Bombastic9_17.param,1.20333,48609,-O3,conflict
Bombastic1_1.param,0.032215,1,-O0,static
Bombastic2_2.param,0.001787,0,-O0,static
Bombastic2_3.param,0.034112,1,-O0,static
Bombastic3_5.param,0.007777,0,-O0,static
Bombastic3_6.param,0.046656,19,-O0,static
Bombastic4_7.param,0.023883,113,-O0,static
Bombastic4_8.param,0.063025,266,-O0,static
Bombastic5_09.param,0.043482,512,-O0,static
Bombastic5_10.param,0.104881,1313,-O0,static
Bombastic6_11.param,0.375417,8257,-O0,static
Bombastic6_12.param,0.821322,16198,-O0,static
Bombastic7_14.param,0.383142,2675,-O0,static
Bombastic7_15.param,0.701487,5755,-O0,static
Bombastic8_15.param,0.983669,18960,-O0,static
Bombastic8_16.param,2.54406,49723,-O0,static
Bombastic9_16.param,1.36569,30705,-O0,static
Bombastic9_17.param,4.23477,88077,-O0,static
Bombastic1_1.param,0.031702,1,-O1,static
Bombastic2_2.param,0.000868,0,-O1,static
Bombastic2_3.param,0.03185,1,-O1,static
Bombastic3_5.param,0.001386,0,-O1,static
Bombastic3_6.param,0.038023,19,-O1,static
Bombastic4_7.param,0.00349,0,-O1,static
Bombastic4_8.param,0.049754,1,-O1,static
Bombastic5_09.param,0.021112,267,-O1,static
Bombastic5_10.param,0.063828,615,-O1,static
Bombastic6_11.param,0.165555,6786,-O1,static
Bombastic6_12.param,0.368569,13737,-O1,static
Bombastic7_14.param,0.028398,0,-O1,static
Bombastic7_15.param,0.076756,1,-O1,static
Bombastic8_15.param,0.376193,18169,-O1,static
Bombastic8_16.param,1.39018,48055,-O1,static
Bombastic9_16.param,0.547982,29331,-O1,static
Bombastic9_17.param,2.43487,85000,-O1,static
Bombastic1_1.param,0.032484,1,-O2,static
Bombastic2_2.param,0.000546,0,-O2,static
Bombastic2_3.param,0.033097,1,-O2,static
Bombastic3_5.param,0.000893,0,-O2,static
Bombastic3_6.param,0.037966,19,-O2,static
Bombastic4_7.param,0.001448,0,-O2,static
Bombastic4_8.param,0.03448,1,-O2,static
Bombastic5_09.param,0.011204,267,-O2,static
Bombastic5_10.param,0.050539,615,-O2,static
Bombastic6_11.param,0.139096,6786,-O2,static
Bombastic6_12.param,0.325515,13737,-O2,static
Bombastic7_14.param,0.004043,0,-O2,static
Bombastic7_15.param,0.033985,1,-O2,static
Bombastic8_15.param,0.270556,18169,-O2,static
Bombastic8_16.param,1.09081,48055,-O2,static
Bombastic9_16.param,0.432149,29331,-O2,static
Bombastic9_17.param,1.93249,85000,-O2,static
Bombastic1_1.param,0.032684,1,-O3,static
Bombastic2_2.param,0.000546,0,-O3,static
Bombastic2_3.param,0.033397,1,-O3,static
Bombastic3_5.param,0.000835,0,-O3,static
Bombastic3_6.param,0.036365,19,-O3,static
Bombastic4_7.param,0.001431,0,-O3,static
Bombastic4_8.param,0.034207,1,-O3,static
