Parameter file, Time taken, Solver nodes, Optimisation flag, Heuristic
Bombastic2_3.param,0.035031,1,-O2,conflict
Bombastic3_5.param,0.000932,0,-O2,conflict
Bombastic3_6.param,0.037491,19,-O2,conflict
Bombastic4_7.param,0.000951,0,-O2,conflict
Bombastic4_8.param,0.036241,36,-O2,conflict
Bombastic5_09.param,0.007613,379,-O2,conflict
Bombastic5_10.param,0.043433,327,-O2,conflict
Bombastic6_11.param,0.086569,5537,-O2,conflict
Bombastic6_12.param,0.155724,8949,-O2,conflict
Bombastic7_14.param,0.99157,53886,-O2,conflict
Bombastic7_15.param,1.52517,82806,-O2,conflict
Bombastic8_15.param,7.66596,451978,-O2,conflict
Bombastic8_16.param,14.6847,815033,-O2,conflict
Bombastic9_16.param,12.8925,767638,-O2,conflict
Bombastic9_17.param,21.0308,1163274,-O2,conflict
Bombastic1_1.param,0.034615,1,-O3,conflict
Bombastic2_2.param,0.000587,0,-O3,conflict
Bombastic2_3.param,0.035089,1,-O3,conflict
Bombastic3_5.param,0.000909,0,-O3,conflict
Bombastic3_6.param,0.036773,19,-O3,conflict
Bombastic4_7.param,0.000692,0,-O3,conflict
Bombastic4_8.param,0.03741,36,-O3,conflict
Bombastic5_09.param,0.010709,379,-O3,conflict
Bombastic5_10.param,0.046571,327,-O3,conflict
Bombastic6_11.param,0.084516,5520,-O3,conflict
Bombastic6_12.param,0.1705,8760,-O3,conflict
Bombastic7_14.param,1.00125,52563,-O3,conflict
Bombastic7_15.param,1.63276,83408,-O3,conflict
Bombastic8_15.param,8.5003,451978,-O3,conflict
Bombastic8_16.param,16.0814,815033,-O3,conflict
Bombastic9_16.param,14.1795,767638,-O3,conflict
Bombastic9_17.param,22.8767,1163274,-O3,conflict
Bombastic1_1.param,0.035743,1,-O0,static
Bombastic2_2.param,0.00254,0,-O0,static
Bombastic2_3.param,0.037394,1,-O0,static
Bombastic3_5.param,0.009519,0,-O0,static
Bombastic3_6.param,0.049412,21,-O0,static
Bombastic4_7.param,0.032087,113,-O0,static
Bombastic4_8.param,0.065846,266,-O0,static
Bombastic5_09.param,0.051368,512,-O0,static
Bombastic5_10.param,0.111706,1322,-O0,static
Bombastic6_11.param,0.67634,11671,-O0,static
Bombastic6_12.param,1.56113,23368,-O0,static
Bombastic7_14.param,2.08386,51492,-O0,static
Bombastic7_15.param,4.47216,98601,-O0,static
Bombastic8_15.param,12.4475,327718,-O0,static
Bombastic8_16.param,30.9537,729172,-O0,static
Bombastic9_16.param,20.2907,546476,-O0,static
Bombastic9_17.param,55.6352,1293411,-O0,static
Bombastic1_1.param,0.031907,1,-O1,static
Bombastic2_2.param,0.000478,0,-O1,static
Bombastic2_3.param,0.042695,1,-O1,static
Bombastic3_5.param,0.002919,0,-O1,static
Bombastic3_6.param,0.041811,19,-O1,static
Bombastic4_7.param,0.006207,0,-O1,static
Bombastic4_8.param,0.051887,18,-O1,static
Bombastic5_09.param,0.025832,267,-O1,static
Bombastic5_10.param,0.06896,615,-O1,static
Bombastic6_11.param,0.206662,7052,-O1,static
Bombastic6_12.param,0.474738,14036,-O1,static
Bombastic7_14.param,1.15197,44769,-O1,static
Bombastic7_15.param,2.36637,82920,-O1,static
Bombastic8_15.param,6.48487,328143,-O1,static
Bombastic8_16.param,17.1836,730259,-O1,static
Bombastic9_16.param,10.9043,547184,-O1,static
Bombastic9_17.param,30.25,1295335,-O1,static
Bombastic1_1.param,0.03204,1,-O2,static
Bombastic2_2.param,0.000575,0,-O2,static
Bombastic2_3.param,0.035053,1,-O2,static
Bombastic3_5.param,0.001051,0,-O2,static
Bombastic3_6.param,0.035769,19,-O2,static
Bombastic4_7.param,0.001461,0,-O2,static
Bombastic4_8.param,0.035291,18,-O2,static
Bombastic5_09.param,0.007695,267,-O2,static
Bombastic5_10.param,0.056463,615,-O2,static
Bombastic6_11.param,0.097464,7052,-O2,static
Bombastic6_12.param,0.232505,14036,-O2,static
Bombastic7_14.param,0.547535,44769,-O2,static
Bombastic7_15.param,1.12221,82920,-O2,static
Bombastic8_15.param,3.38402,328143,-O2,static
Bombastic8_16.param,8.9652,730259,-O2,static
Bombastic9_16.param,5.4885,547184,-O2,static
Bombastic9_17.param,16.1227,1295335,-O2,static
Bombastic1_1.param,0.034257,1,-O3,static
Bombastic2_2.param,0.000558,0,-O3,static
Bombastic2_3.param,0.034801,1,-O3,static
Bombastic3_5.param,0.00096,0,-O3,static
Bombastic3_6.param,0.037533,19,-O3,static
Bombastic4_7.param,0.0014,0,-O3,static
Bombastic4_8.param,0.037266,18,-O3,static
Bombastic5_09.param,0.006873,267,-O3,static
Bombastic5_10.param,0.046701,615,-O3,static
Bombastic6_11.param,0.09664,6622,-O3,static
Bombastic6_12.param,0.233215,12838,-O3,static
Bombastic7_14.param,0.591777,44769,-O3,static
Bombastic7_15.param,1.21168,82920,-O3,static
Bombastic8_15.param,3.79542,328143,-O3,static
Bombastic8_16.param,9.89922,730259,-O3,static
Bombastic9_16.param,6.10281,547184,-O3,static
Bombastic9_17.param,17.5765,1295335,-O3,static
Bombastic1_1.param,0.036089,1,-O0,srf
Bombastic2_2.param,0.001019,0,-O0,srf
Bombastic2_3.param,0.037638,1,-O0,srf
Bombastic3_5.param,0.009344,0,-O0,srf
Bombastic3_6.param,0.046179,11,-O0,srf
Bombastic4_7.param,0.03685,239,-O0,srf
Bombastic4_8.param,0.084187,385,-O0,srf
Bombastic5_09.param,0.174599,3864,-O0,srf
Bombastic5_10.param,0.397097,8240,-O0,srf
Bombastic6_11.param,0.440475,11908,-O0,srf
Bombastic6_12.param,1.01459,26255,-O0,srf
Bombastic7_14.param,2.007,41322,-O0,srf
Bombastic7_15.param,4.62966,92693,-O0,srf
Bombastic8_15.param,13.9863,296512,-O0,srf
Bombastic8_16.param,38.605,756885,-O0,srf
Bombastic9_16.param,23.6756,495801,-O0,srf
Bombastic9_17.param,66.7231,1267730,-O0,srf
Bombastic1_1.param,0.034673,1,-O1,srf
Bombastic2_2.param,0.000935,0,-O1,srf
Bombastic2_3.param,0.032359,1,-O1,srf
Bombastic3_5.param,0.003748,0,-O1,srf
Bombastic3_6.param,0.050543,10,-O1,srf
Bombastic4_7.param,0.007404,0,-O1,srf
Bombastic4_8.param,0.050576,36,-O1,srf
Bombastic5_09.param,0.025807,250,-O1,srf
Bombastic5_10.param,0.062064,233,-O1,srf
Bombastic6_11.param,0.078017,2412,-O1,srf
Bombastic6_12.param,0.200233,6083,-O1,srf
Bombastic7_14.param,1.16536,35885,-O1,srf
Bombastic7_15.param,2.7389,80482,-O1,srf
Bombastic8_15.param,9.57282,311281,-O1,srf
Bombastic8_16.param,26.9334,818150,-O1,srf
Bombastic9_16.param,16.3469,521064,-O1,srf
Bombastic9_17.param,45.9366,1373057,-O1,srf
Bombastic1_1.param,0.078004,1,-O2,srf
Bombastic2_2.param,0.0,0,-O2,srf
Bombastic2_3.param,0.034075,1,-O2,srf
Bombastic3_5.param,0.000715,0,-O2,srf
Bombastic3_6.param,0.035117,19,-O2,srf
Bombastic4_7.param,0.001581,0,-O2,srf
Bombastic4_8.param,0.037597,19,-O2,srf
Bombastic5_09.param,0.008685,322,-O2,srf
Bombastic5_10.param,0.048759,529,-O2,srf
Bombastic6_11.param,0.248242,17791,-O2,srf
Bombastic6_12.param,0.704772,47645,-O2,srf
Bombastic7_14.param,1.15399,53050,-O2,srf
Bombastic7_15.param,2.55937,119438,-O2,srf
Bombastic8_15.param,5.48505,265047,-O2,srf
Bombastic8_16.param,13.0663,593370,-O2,srf
Bombastic9_16.param,9.3209,445961,-O2,srf
Bombastic9_17.param,23.5716,1051399,-O2,srf
Bombastic1_1.param,0.034871,1,-O3,srf
Bombastic2_2.param,0.000604,0,-O3,srf
Bombastic2_3.param,0.033312,1,-O3,srf
Bombastic3_5.param,0.000919,0,-O3,srf
Bombastic3_6.param,0.036251,19,-O3,srf
Bombastic4_7.param,0.000198,0,-O3,srf
Bombastic4_8.param,0.046926,19,-O3,srf
Bombastic5_09.param,0.009191,322,-O3,srf
Bombastic5_10.param,0.049497,529,-O3,srf
Bombastic6_11.param,0.260653,17229,-O3,srf
Bombastic6_12.param,0.791841,46027,-O3,srf
Bombastic7_14.param,1.1694,50859,-O3,srf
Bombastic7_15.param,2.56669,114193,-O3,srf
Bombastic8_15.param,5.91384,265047,-O3,srf
Bombastic8_16.param,14.0639,593370,-O3,srf
Bombastic9_16.param,10.0379,445961,-O3,srf
Bombastic9_17.param,24.4863,1051399,-O3,srf
